AAN	Aaron's, Inc.
FBM	Foundation Building Materials, Inc.
FBMS	The First Bancshares, Inc. (Mississippi)
FBNC	First Bancorp (North Carolina)
FBP	First BanCorp (Puerto Rico)
FC	Franklin Covey Co.
FCAP	First Capital, Inc.
FCBC	First Community Bancshares, Inc. (Virginia)
FCBP	First Choice Bancorp (California)
FCCY	1st Constitution Bancorp
FCF	First Commonwealth Financial Corp. (Pennsylvania)
FCFS	FirstCash, Inc.
FCN	FTI Consulting, Inc.
FCPT	Four Corners Property Trust, Inc.
FDBC	Fidelity D&D Bancorp, Inc.
FDEF	First Defiance Financial Corp.
FDP	Fresh Del Monte Produce, Inc.
FELE	Franklin Electric Co., Inc.
FET	Forum Energy Technologies, Inc.
FF	FutureFuel Corp.
FFBC	First Financial Bancorp (Ohio)
FFG	FBL Financial Group, Inc.
FFIC	Flushing Financial Corp.
FFIN	First Financial Bankshares, Inc.
FFNW	First Financial Northwest, Inc.
FFWM	First Foundation, Inc.
FG	FGL Holdings
FGBI	First Guaranty Bancshares, Inc.
FGEN	FibroGen, Inc.
FI	Frank's International NV
FIBK	First Interstate BancSystem, Inc. (Montana)
FII	Federated Investors, Inc.
FISI	Financial Institutions, Inc.
FIT	Fitbit, Inc.
FIVN	Five9, Inc.
FIX	Comfort Systems USA, Inc.
FIXX	Homology Medicines, Inc.
FIZZ	National Beverage Corp.
FLDM	Fluidigm Corp.
FLIC	The First of Long Island Corp.
FLMN	Falcon Minerals Corp.
FLNT	Fluent, Inc.
FLOW	SPX Flow, Inc.
FLWS	1-800-FLOWERS.COM, Inc.
FLXN	Flexion Therapeutics, Inc.
FLXS	Flexsteel Industries, Inc.
FMAO	Farmers & Merchants Bancorp, Inc. (Ohio)
FMBH	First Mid Bancshares, Inc.
FMBI	First Midwest Bancorp, Inc. (Illinois)
FMNB	Farmers National Banc Corp.
FN	Fabrinet
FNCB	FNCB Bancorp, Inc.
FNHC	FedNat Holding Co.
FNKO	Funko, Inc.
FNLC	The First Bancorp, Inc. (Maine)
FNWB	First Northwest Bancorp (Washington)
FOCS	Focus Financial Partners, Inc.
FOE	Ferro Corp.
FOLD	Amicus Therapeutics, Inc.
FOR	Forestar Group, Inc.
FORM	FormFactor, Inc.
FORR	Forrester Research, Inc.
FOSL	Fossil Group, Inc.
FOXF	Fox Factory Holding Corp.
FPI	Farmland Partners, Inc.
FPRX	Five Prime Therapeutics, Inc.
FR	First Industrial Realty Trust, Inc.
FRAC	Keane Group, Inc.
FRAF	Franklin Financial Services Corp. (Pennsylvania)
FRBA	First Bank (Hamilton, New Jersey)
FRBK	Republic First Bancorp, Inc.
FRGI	Fiesta Restaurant Group, Inc.
FRME	First Merchants Corp. (Indiana)
FRPH	FRP Holdings, Inc.
FRPT	Freshpet Inc.
FRTA	Forterra, Inc.
FSB	Franklin Financial Network, Inc.
FSBW	FS Bancorp, Inc.
FSCT	ForeScout Technologies, Inc.
FSP	Franklin Street Properties Corp.
FSS	Federal Signal Corp.
FSTR	L.B. Foster Co.
FTK	Flotek Industries, Inc.
FTR	Frontier Communications Corp.
FTSI	FTS International, Inc.
FTSV	Forty Seven, Inc.
FUL	H.B. Fuller Co.
FULC	Fulcrum Therapeutics, Inc.
FULT	Fulton Financial Corp.
FVCB	FVCBankcorp, Inc.
FWRD	Forward Air Corp.
GABC	German American Bancorp, Inc.
GAIA	Gaia, Inc.
GALT	Galectin Therapeutics, Inc.
GATX	GATX Corp.
GBCI	Glacier Bancorp, Inc.
GBL	GAMCO Investors, Inc.
GBLI	Global Indemnity Ltd.
GBT	Global Blood Therapeutics, Inc.
GBX	Greenbrier Cos., Inc.
GCAP	GAIN Capital Holdings, Inc.
GCBC	Greene County Bancorp, Inc.
GCI	Gannett Co., Inc.
GCO	Genesco, Inc.
GCP	GCP Applied Technologies, Inc.
GDEN	Golden Entertainment, Inc.
GDOT	Green Dot Corp.
GDP	Goodrich Petroleum Corp.
GEF	Greif, Inc.
GEF.B	Greif, Inc.
GEN	Genesis Healthcare, Inc.
GENC	Gencor Industries, Inc.
GEO	The GEO Group, Inc.
GEOS	Geospace Technologies Corp.
GERN	Geron Corp.
GES	Guess?, Inc.
GFF	Griffon Corp.
GFN	General Finance Corp.
GHDX	Genomic Health, Inc.
GHL	Greenhill & Co., Inc.
GHM	Graham Corp.
GIII	G-III Apparel Group Ltd.
GKOS	Glaukos Corp.
GLDD	Great Lakes Dredge & Dock Corp.
GLNG	Golar LNG Ltd.
GLOG	GasLog Ltd.
GLRE	Greenlight Capital Re Ltd.
GLT	P.H. Glatfelter Co.
GLUU	Glu Mobile, Inc.
GLYC	GlycoMimetics, Inc.
GME	GameStop Corp.
GMED	Globus Medical, Inc.
GMRE	Global Medical REIT, Inc.
GMS	GMS, Inc.
GNC	GNC Holdings, Inc.
GNE	Genie Energy Ltd.
GNK	Genco Shipping & Trading Ltd.
GNL	Global Net Lease, Inc.
GNLN	Greenlane Holdings, Inc.
GNMK	GenMark Diagnostics, Inc.
GNRC	Generac Holdings, Inc.
GNTY	Guaranty Bancshares, Inc. (Texas)
GNW	Genworth Financial, Inc.
GOGO	Gogo, Inc.
GOLF	Acushnet Holdings Corp.
GOOD	Gladstone Commercial Corp.
GORO	Gold Resource Corp.
GOSS	Gossamer Bio, Inc.
GPI	Group 1 Automotive, Inc.
GPMT	Granite Point Mortgage Trust, Inc.
GPOR	Gulfport Energy Corp.
GPRE	Green Plains, Inc.
GPRO	GoPro, Inc.
GPX	GP Strategies Corp.
GRBK	Green Brick Partners, Inc.
GRC	The Gorman-Rupp Co.
GRIF	Griffin Industrial Realty, Inc.
GRPN	Groupon, Inc.
GRTS	Gritstone Oncology, Inc.
GSBC	Great Southern Bancorp, Inc. (Missouri)
GSHD	Goosehead Insurance, Inc.
GSIT	GSI Technology, Inc.
GTHX	G1 Therapeutics, Inc.
GTLS	Chart Industries, Inc.
GTN	Gray Television, Inc.
GTS	Triple-S Management Corp.
GTT	GTT Communications, Inc.
GTY	Getty Realty Corp.
GTYH	GTY Technology Holdings, Inc.
GVA	Granite Construction, Inc.
GWB	Great Western Bancorp, Inc. (South Dakota)
GWGH	GWG Holdings, Inc.
GWRS	Global Water Resources, Inc.
HA	Hawaiian Holdings, Inc.
HABT	The Habit Restaurants, Inc.
HAE	Haemonetics Corp.
HAFC	Hanmi Financial Corp.
HALL	Hallmark Financial Services, Inc.
HALO	Halozyme Therapeutics, Inc.
HARP	Harpoon Therapeutics, Inc.
HASI	Hannon Armstrong Sustainable Infrastructure Capital, Inc.
HAYN	Haynes International, Inc.
HBB	Hamilton Beach Brands Holding Co.
HBCP	Home Bancorp, Inc.
HBMD	Howard Bancorp, Inc. (Maryland)
HBNC	Horizon Bancorp, Inc. (Indiana)
HCAT	Health Catalyst, Inc.
HCC	Warrior Met Coal, Inc.
HCCI	Heritage-Crystal Clean, Inc.
HCI	HCI Group, Inc.
HCKT	The Hackett Group, Inc.
HCSG	Healthcare Services Group, Inc.
HEES	H&E Equipment Services, Inc.
HELE	Helen of Troy Ltd.
HFFG	HF Foods Group, Inc.
HFWA	Heritage Financial Corp. (Washington)
HI	Hillenbrand, Inc.
HIBB	Hibbett Sports, Inc.
HIFS	Hingham Institution for Savings
HIIQ	Health Insurance Innovations, Inc.
HL	Hecla Mining Co.
HLI	Houlihan Lokey, Inc.
HLIO	Helios Technologies, Inc.
HLIT	Harmonic, Inc.
HLNE	Hamilton Lane, Inc.
HLX	Helix Energy Solutions Group, Inc.
HMHC	Houghton Mifflin Harcourt Co.
HMN	Horace Mann Educators Corp.
HMST	HomeStreet, Inc.
HMSY	HMS Holdings Corp.
HMTV	Hemisphere Media Group, Inc.
HNGR	Hanger, Inc.
HNI	HNI Corp.
HNRG	Hallador Energy Co.
HOFT	Hooker Furniture Corp.
HOMB	Home Bancshares, Inc. (Arkansas)
HOME	At Home Group, Inc.
HONE	HarborOne Bancorp, Inc.
HOOK	HOOKIPA Pharma, Inc.
HOPE	Hope Bancorp, Inc.
HPR	HighPoint Resources Corp.
HQY	HealthEquity, Inc.
HR	Healthcare Realty Trust, Inc.
HRI	Herc Holdings, Inc.
HRTG	Heritage Insurance Holdings, Inc.
HRTX	Heron Therapeutics, Inc.
HSC	Harsco Corp.
HSII	Heidrick & Struggles International, Inc.
HSKA	Heska Corp.
HSTM	HealthStream, Inc.
HT	Hersha Hospitality Trust
HTBI	HomeTrust Bancshares, Inc.
HTBK	Heritage Commerce Corp.
HTH	Hilltop Holdings, Inc.
HTLD	Heartland Express, Inc.
HTLF	Heartland Financial USA, Inc.
HTZ	Hertz Global Holdings, Inc.
HUBG	Hub Group, Inc.
HUD	Hudson Ltd.
HURC	Hurco Cos., Inc.
HURN	Huron Consulting Group, Inc.
HVT	Haverty Furniture Cos., Inc.
HWBK	Hawthorn Bancshares, Inc.
HWC	Hancock Whitney Corp.
HWKN	Hawkins, Inc.
HY	Hyster-Yale Materials Handling, Inc.
HZO	MarineMax, Inc.
I	Intelsat SA
IBCP	Independent Bank Corp. (Michigan)
IBKC	IBERIABANK Corp.
IBOC	International Bancshares Corp.
IBP	Installed Building Products, Inc.
IBTX	Independent Bank Group, Inc.
ICD	Independence Contract Drilling, Inc.
ICFI	ICF International, Inc.
ICHR	Ichor Holdings Ltd.
ICPT	Intercept Pharmaceuticals, Inc.
IDCC	InterDigital, Inc.
IDEX	Ideanomics, Inc.
IDT	IDT Corp.
IESC	IES Holdings, Inc.
IHC	Independence Holding Co.
III	Information Services Group, Inc.
IIIN	Insteel Industries, Inc.
IIIV	i3 Verticals, Inc.
IIN	Intricon Corp.
IIPR	Innovative Industrial Properties, Inc.
IIVI	II-VI, Inc.
ILPT	Industrial Logistics Properties Trust
IMAX	IMAX Corp.
IMGN	ImmunoGen, Inc.
IMKTA	Ingles Markets, Inc.
IMMR	Immersion Corp.
IMMU	Immunomedics, Inc.
IMXI	International Money Express, Inc.
INBK	First Internet Bancorp
INDB	Independent Bank Corp. (Massachusetts)
INFN	Infinera Corp.
INGN	Inogen, Inc.
INN	Summit Hotel Properties, Inc.
INO	Inovio Pharmaceuticals, Inc.
INOV	Inovalon Holdings, Inc.
INS	Intelligent Systems Corp.
INSE	Inspired Entertainment, Inc.
INSG	Inseego Corp.
INSM	Insmed, Inc.
INSP	Inspire Medical Systems, Inc.
INST	Instructure, Inc.
INSW	International Seaways, Inc.
INT	World Fuel Services Corp.
INTL	INTL FCStone, Inc.
INVA	Innoviva, Inc.
INWK	InnerWorkings, Inc.
IOSP	Innospec, Inc.
IOTS	Adesto Technologies Corp.
IOVA	Iovance Biotherapeutics, Inc.
IPAR	Inter Parfums, Inc.
IPHI	Inphi Corp.
IPHS	Innophos Holdings, Inc.
IPI	Intrepid Potash, Inc.
IRBT	iRobot Corp.
IRDM	Iridium Communications, Inc.
IRET	Investors Real Estate Trust
IRMD	IRadimed Corp.
IRT	Independence Realty Trust, Inc.
IRTC	iRhythm Technologies, Inc.
IRWD	Ironwood Pharmaceuticals, Inc.
ISBC	Investors Bancorp, Inc. (New Jersey)
ISCA	International Speedway Corp.
ISRL	Isramco, Inc.
ISTR	Investar Holding Corp.
ITCI	Intra-Cellular Therapies, Inc.
ITGR	Integer Holdings Corp.
ITI	Iteris, Inc.
ITIC	Investors Title Co.
ITRI	Itron, Inc.
IVC	Invacare Corp.
IVR	Invesco Mortgage Capital, Inc.
JACK	Jack in the Box, Inc.
JAG	Jagged Peak Energy, Inc.
JAX	J. Alexander's Holdings, Inc.
JBSS	John B. Sanfilippo & Son, Inc.
JBT	John Bean Technologies Corp.
JCAP	Jernigan Capital, Inc.
JCOM	J2 Global, Inc.
JCP	J. C. Penney Co., Inc.
JELD	JELD-WEN Holding, Inc.
JILL	J.Jill, Inc.
JJSF	J&J Snack Foods Corp.
JNCE	Jounce Therapeutics, Inc.
JOE	The St. Joe Co.
JOUT	Johnson Outdoors, Inc.
JRVR	James River Group Holdings Ltd.
JYNT	The Joint Corp. (United States)
KAI	Kadant, Inc.
KALA	Kala Pharmaceuticals, Inc.
KALU	Kaiser Aluminum Corp.
KALV	KalVista Pharmaceuticals, Inc.
KAMN	Kaman Corp.
KBAL	Kimball International, Inc.
KBH	KB Home
KBR	KBR, Inc.
KDMN	Kadmon Holdings, Inc.
KE	Kimball Electronics, Inc.
KELYA	Kelly Services, Inc.
KEM	KEMET Corp.
KFRC	Kforce, Inc.
KFY	Korn Ferry
KIDS	OrthoPediatrics Corp.
KIN	Kindred Biosciences, Inc.
KLDO	Kaleido Biosciences, Inc.
KLXE	KLX Energy Services Holdings, Inc.
KMT	Kennametal, Inc.
KN	Knowles Corp.
KNL	Knoll, Inc.
KNSA	Kiniksa Pharmaceuticals Ltd.
KNSL	Kinsale Capital Group, Inc.
KOD	Kodiak Sciences, Inc.
KOP	Koppers Holdings, Inc.
KPTI	Karyopharm Therapeutics, Inc.
KRA	Kraton Corp.
KREF	KKR Real Estate Finance Trust, Inc.
KRG	Kite Realty Group Trust
KRNY	Kearny Financial Corp.
KRO	Kronos Worldwide, Inc.
KRTX	Karuna Therapeutics, Inc.
KRUS	Kura Sushi USA, Inc.
KRYS	Krystal Biotech, Inc.
KTB	Kontoor Brands, Inc.
KTOS	Kratos Defense & Security Solutions, Inc.
KURA	Kura Oncology, Inc.
KVHI	KVH Industries, Inc. (Delaware)
KW	Kennedy-Wilson Holdings, Inc.
KWR	Quaker Chemical Corp.
KZR	Kezar Life Sciences, Inc.
LAD	Lithia Motors, Inc.
LADR	Ladder Capital Corp.
LANC	Lancaster Colony Corp.
LAND	Gladstone Land Corp.
LASR	nLIGHT, Inc.
LAUR	Laureate Education, Inc.
LAWS	Lawson Products, Inc.
LBAI	Lakeland Bancorp, Inc.
LBC	Luther Burbank Corp.
LBRT	Liberty Oilfield Services, Inc.
LC	LendingClub Corp.
LCI	Lannett Co., Inc.
LCII	LCI Industries
LCNB	LCNB Corp.
LCTX	Lineage Cell Therapeutics, Inc.
LCUT	Lifetime Brands, Inc.
LDL	Lydall, Inc.
LE	Lands' End, Inc.
LEAF	Leaf Group Ltd.
LEE	Lee Enterprises, Inc.
LEGH	Legacy Housing Corp.
LEVL	Level One Bancorp, Inc.
LFVN	LifeVantage Corp.
LGIH	LGI Homes, Inc.
LGND	Ligand Pharmaceuticals, Inc.
LHCG	LHC Group, Inc.
LILA	Liberty Latin America Ltd.
LILAK	Liberty Latin America Ltd.
LIND	Lindblad Expeditions Holdings, Inc.
LITE	Lumentum Holdings, Inc.
LIVN	LivaNova Plc
LIVX	LiveXLive Media, Inc.
LJPC	La Jolla Pharmaceutical Co.
LKFN	Lakeland Financial Corp. (Indiana)
LKSD	LSC Communications, Inc.
LL	Lumber Liquidators Holdings, Inc.
LLNW	Limelight Networks, Inc.
LMAT	LeMaitre Vascular, Inc.
LMNR	Limoneira Co.
LMNX	Luminex Corp.
LNDC	Landec Corp.
LNN	Lindsay Corp.
LNTH	Lantheus Holdings, Inc.
LOB	Live Oak Bancshares, Inc.
LOCO	El Pollo Loco Holdings, Inc.
LOGC	LogicBio Therapeutics, Inc.
LORL	Loral Space & Communications, Inc.
LOVE	The Lovesac Co.
LPG	Dorian LPG Ltd.
LPI	Laredo Petroleum, Inc.
LPSN	LivePerson, Inc.
LPX	Louisiana-Pacific Corp.
LQDA	Liquidia Technologies, Inc.
LQDT	Liquidity Services, Inc.
LRN	K12, Inc.
LSCC	Lattice Semiconductor Corp.
LTC	LTC Properties, Inc.
LTHM	Livent Corp.
LTRPA	Liberty TripAdvisor Holdings, Inc.
LTS	Ladenburg Thalmann Financial Services, Inc.
LTXB	LegacyTexas Financial Group, Inc.
LVGO	Livongo Health, Inc.
LXFR	Luxfer Holdings Plc
LXP	Lexington Realty Trust
LXRX	Lexicon Pharmaceuticals, Inc.
LXU	LSB Industries, Inc.
LZB	La-Z-Boy, Inc.
MANT	ManTech International Corp.
MATW	Matthews International Corp.
MATX	Matson, Inc.
MAXR	Maxar Technologies, Inc.
MBI	MBIA, Inc.
MBII	Marrone Bio Innovations, Inc.
MBIN	Merchants Bancorp (Indiana)
MBIO	Mustang Bio, Inc.
MBUU	Malibu Boats, Inc.
MBWM	Mercantile Bank Corp.
MC	Moelis & Co.
MCB	Metropolitan Bank Holding Corp.
MCBC	Macatawa Bank Corp.
MCFT	Mastercraft Boat Holdings, Inc.
MCHX	Marchex, Inc.
MCRB	Seres Therapeutics, Inc.
MCRI	Monarch Casino & Resort, Inc.
MCRN	Milacron Holdings Corp.
MCS	Marcus Corp.
MDC	M.D.C. Holdings, Inc.
MDCA	MDC Partners, Inc.
MDCO	The Medicines Co.
MDGL	Madrigal Pharmaceuticals, Inc.
MDP	Meredith Corp.
MDR	McDermott International, Inc.
MDRX	Allscripts Healthcare Solutions, Inc.
MEC	Mayville Engineering Co., Inc.
MED	Medifast, Inc.
MEDP	Medpace Holdings, Inc.
MEET	The Meet Group, Inc.
MEI	Methode Electronics, Inc.
MEIP	MEI Pharma, Inc.
MESA	Mesa Air Group, Inc.
METC	Ramaco Resources, Inc.
MFIN	Medallion Financial Corp.
MFNC	Mackinac Financial Corp.
MFSF	MutualFirst Financial, Inc.
MG	MISTRAS Group, Inc.
MGEE	MGE Energy, Inc.
MGLN	Magellan Health, Inc.
MGNX	MacroGenics, Inc.
MGPI	MGP Ingredients, Inc.
MGRC	McGrath RentCorp
MGTA	Magenta Therapeutics, Inc.
MGTX	MeiraGTx Holdings Plc
MGY	Magnolia Oil & Gas Corp.
MHO	M/I Homes, Inc.
MIK	Michaels Cos., Inc.
MINI	Mobile Mini, Inc.
MIRM	Mirum Pharmaceuticals, Inc.
MITK	Mitek Systems, Inc.
MITT	AG Mortgage Investment Trust, Inc.
MJCO	Majesco
MLAB	Mesa Laboratories, Inc.
MLHR	Herman Miller, Inc.
MLI	Mueller Industries, Inc.
MLND	Millendo Therapeutics, Inc.
MLP	Maui Land & Pineapple Co., Inc.
MLR	Miller Industries, Inc. (Tennessee)
MLVF	Malvern Bancorp, Inc.
MMAC	MMA Capital Holdings, Inc.
MMI	Marcus & Millichap, Inc.
MMS	MAXIMUS, Inc.
MMSI	Merit Medical Systems, Inc.
MNK	Mallinckrodt Plc
MNKD	MannKind Corp.
MNLO	Menlo Therapeutics, Inc.
MNOV	MediciNova, Inc.
MNR	Monmouth Real Estate Investment Corp.
MNRL	Brigham Minerals, Inc.
MNRO	Monro, Inc.
MNSB	MainStreet Bancshares, Inc.
MNTA	Momenta Pharmaceuticals, Inc.
MOBL	MobileIron, Inc.
MOD	Modine Manufacturing Co.
MODN	Model N, Inc.
MOFG	MidWestOne Financial Group, Inc.
MOG.A	Moog, Inc.
MORF	Morphic Holding, Inc.
MOV	Movado Group, Inc.
MPAA	Motorcar Parts of America, Inc.
MPB	Mid Penn Bancorp, Inc.
MPX	Marine Products Corp.
MR	Montage Resources Corp.
MRC	MRC Global, Inc.
MRCY	Mercury Systems, Inc.
MRKR	Marker Therapeutics, Inc.
MRLN	Marlin Business Services Corp.
MRNS	Marinus Pharmaceuticals, Inc.
MRSN	Mersana Therapeutics, Inc.
MRTN	Marten Transport Ltd.
MRTX	Mirati Therapeutics, Inc.
MSA	MSA Safety, Inc.
MSBI	Midland States Bancorp, Inc.
MSEX	Middlesex Water Co.
MSGN	MSG Networks, Inc.
MSON	Misonix, Inc.
MSTR	MicroStrategy, Inc.
MTDR	Matador Resources Co.
MTEM	Molecular Templates, Inc.
MTH	Meritage Homes Corp.
MTOR	Meritor, Inc.
MTRN	Materion Corp.
MTRX	Matrix Service Co.
MTSC	MTS Systems Corp.
MTSI	MACOM Technology Solutions Holdings, Inc.
MTW	The Manitowoc Co., Inc.
MTX	Minerals Technologies, Inc.
MTZ	MasTec, Inc.
MUSA	Murphy USA, Inc.
MVBF	MVB Financial Corp.
MWA	Mueller Water Products, Inc.
MXL	MaxLinear, Inc.
MYE	Myers Industries, Inc.
MYGN	Myriad Genetics, Inc.
MYOK	MyoKardia, Inc.
MYRG	MYR Group, Inc.
NANO	Nanometrics, Inc.
NAT	Nordic American Tankers Ltd.
NATH	Nathan's Famous, Inc.
NATR	Nature's Sunshine Products, Inc.
NAV	Navistar International Corp.
NBEV	New Age Beverages Corp.
NBHC	National Bank Holdings Corp.
NBN	Northeast Bank (Maine)
NBR	Nabors Industries Ltd.
NBTB	NBT Bancorp, Inc.
NC	NACCO Industries, Inc.
NCBS	Nicolet Bankshares, Inc.
NCI	Navigant Consulting, Inc.
NCMI	National CineMedia, Inc.
NCSM	NCS Multistage Holdings, Inc.
NDLS	Noodles & Co.
NE	Noble Corp. Plc
NEO	NeoGenomics, Inc.
NEOG	Neogen Corp.
NERV	Minerva Neurosciences, Inc.
NESR	National Energy Services Reunited Corp.
NEWM	New Media Investment Group, Inc.
NEXT	NextDecade Corp.
NFBK	Northfield Bancorp, Inc. (New Jersey)
NG	NovaGold Resources, Inc.
NGHC	National General Holdings Corp.
NGM	NGM Biopharmaceuticals, Inc.
NGS	Natural Gas Services Group, Inc.
NGVC	Natural Grocers by Vitamin Cottage, Inc.
NGVT	Ingevity Corp.
NHC	National HealthCare Corp.
NHI	National Health Investors, Inc.
NINE	Nine Energy Service, Inc.
NJR	New Jersey Resources Corp.
NKSH	National Bankshares, Inc.
NL	NL Industries, Inc.
NMIH	NMI Holdings, Inc.
NMRK	Newmark Group, Inc.
NNBR	NN, Inc.
NNI	Nelnet, Inc.
NODK	NI Holdings, Inc.
NOG	Northern Oil & Gas, Inc.
NOVA	Sunnova Energy International, Inc.
NOVT	Novanta, Inc.
NP	Neenah, Inc.
NPK	National Presto Industries, Inc.
NPO	EnPro Industries, Inc.
NPTN	NeoPhotonics Corp.
NR	Newpark Resources, Inc.
NRC	National Research Corp.
NRCG	NRC Group Holdings Corp.
NRIM	Northrim BanCorp, Inc.
NSA	National Storage Affiliates Trust
NSIT	Insight Enterprises, Inc.
NSP	Insperity, Inc.
NSSC	Napco Security Technologies, Inc.
NSTG	NanoString Technologies, Inc.
NTB	The Bank of N.T. Butterfield & Son Ltd.
NTCT	NetScout Systems, Inc.
NTGN	Neon Therapeutics, Inc.
NTGR	NETGEAR, Inc.
NTLA	Intellia Therapeutics, Inc.
NTRA	Natera, Inc.
NTUS	Natus Medical, Inc.
NUVA	NuVasive, Inc.
NVAX	Novavax, Inc.
NVCR	Novocure Ltd.
NVEC	NVE Corp.
NVEE	NV5 Global, Inc.
NVRO	Nevro Corp.
NVTA	Invitae Corp.
NWBI	Northwest Bancshares, Inc. (Pennsylvania)
NWE	NorthWestern Corp.
NWFL	Norwood Financial Corp.
NWLI	National Western Life Group, Inc.
NWN	Northwest Natural Holding Co.
NWPX	Northwest Pipe Co.
NX	Quanex Building Products Corp.
NXGN	NextGen Healthcare, Inc.
NXRT	NexPoint Residential Trust, Inc.
NXTC	NextCure, Inc.
NYMT	New York Mortgage Trust, Inc.
NYNY	Empire Resorts, Inc.
OAS	Oasis Petroleum, Inc.
OBNK	Origin Bancorp, Inc.
OCFC	OceanFirst Financial Corp.
OCN	Ocwen Financial Corp.
OCUL	Ocular Therapeutix, Inc.
OCX	OncoCyte Corp.
ODC	Oil-Dri Corp. of America
ODP	Office Depot, Inc.
ODT	Odonate Therapeutics, Inc.
OEC	Orion Engineered Carbons SA
OFG	OFG Bancorp
OFIX	Orthofix Medical, Inc.
OFLX	Omega Flex, Inc.
OGS	ONE Gas, Inc.
OII	Oceaneering International, Inc.
OIS	Oil States International, Inc.
OLBK	Old Line Bancshares, Inc.
OLP	One Liberty Properties, Inc.
OMCL	Omnicell, Inc.
OMER	Omeros Corp.
