AAN	Aaron's, Inc.
OMI	Owens & Minor, Inc.
OMN	OMNOVA Solutions, Inc.
ONB	Old National Bancorp
ONCE	Spark Therapeutics, Inc.
ONDK	On Deck Capital, Inc.
OOMA	Ooma, Inc.
OPB	Opus Bank
OPBK	OP Bancorp
OPI	Office Properties Income Trust
OPK	OPKO Health, Inc.
OPRX	OptimizeRx Corp.
OPTN	OptiNose, Inc.
OPY	Oppenheimer Holdings, Inc.
ORA	Ormat Technologies, Inc.
ORBC	ORBCOMM, Inc.
ORC	Orchid Island Capital, Inc.
ORGO	Organogenesis Holdings, Inc.
ORIT	Oritani Financial Corp.
ORRF	Orrstown Financial Services, Inc.
OSBC	Old Second Bancorp, Inc.
OSG	Overseas Shipholding Group, Inc.
OSIS	OSI Systems, Inc.
OSMT	Osmotica Pharmaceuticals Plc
OSPN	OneSpan, Inc.
OSTK	Overstock.com, Inc.
OSUR	OraSure Technologies, Inc.
OSW	OneSpaWorld Holdings Ltd.
OTTR	Otter Tail Corp.
OVBC	Ohio Valley Banc Corp.
OVLY	Oak Valley Bancorp
OXM	Oxford Industries, Inc.
PACB	Pacific Biosciences of California, Inc.
PACD	Pacific Drilling SA
PAHC	Phibro Animal Health Corp.
PAR	PAR Technology Corp.
PARR	Par Pacific Holdings, Inc.
PATK	Patrick Industries, Inc.
PAYS	PaySign, Inc.
PBFS	Pioneer Bancorp, Inc. (New York)
PBH	Prestige Consumer Healthcare, Inc.
PBI	Pitney Bowes, Inc.
PBIP	Prudential Bancorp, Inc.
PBPB	Potbelly Corp.
PBYI	Puma Biotechnology, Inc.
PCB	PCB Bancorp
PCH	PotlatchDeltic Corp.
PCRX	Pacira Biosciences, Inc.
PCSB	PCSB Financial Corp.
PCYO	Pure Cycle Corp.
PDCE	PDC Energy, Inc.
PDCO	Patterson Cos., Inc.
PDFS	PDF Solutions, Inc.
PDLB	PDL Community Bancorp
PDLI	PDL BioPharma, Inc.
PDM	Piedmont Office Realty Trust, Inc.
PEB	Pebblebrook Hotel Trust
PEBK	Peoples Bancorp of North Carolina, Inc.
PEBO	Peoples Bancorp, Inc. (Ohio)
PEGI	Pattern Energy Group, Inc.
PEI	Pennsylvania Real Estate Investment Trust
PENN	Penn National Gaming, Inc.
PETQ	PetIQ, Inc.
PETS	PetMed Express, Inc.
PFBC	Preferred Bank (California)
PFBI	Premier Financial Bancorp, Inc.
PFGC	Performance Food Group Co.
PFIS	Peoples Financial Services Corp.
PFNX	Pf?nex, Inc.
PFS	Provident Financial Services, Inc.
PFSI	PennyMac Financial Services, Inc.
PGC	Peapack-Gladstone Financial Corp.
PGNX	Progenics Pharmaceuticals, Inc.
PGTI	PGT Innovations, Inc.
PHAS	PhaseBio Pharmaceuticals, Inc.
PHR	Phreesia, Inc.
PHUN	Phunware, Inc.
PHX	Panhandle Oil & Gas, Inc.
PI	Impinj, Inc.
PICO	PICO Holdings, Inc.
PIRS	Pieris Pharmaceuticals, Inc.
PJC	Piper Jaffray Cos.
PJT	PJT Partners, Inc.
PKBK	Parke Bancorp, Inc.
PKD	Parker Drilling Co.
PKE	Park Aerospace Corp.
PKOH	Park-Ohio Holdings Corp.
PLAB	Photronics, Inc.
PLAY	Dave & Buster's Entertainment, Inc.
PLCE	The Children's Place, Inc.
PLMR	Palomar Holdings, Inc.
PLOW	Douglas Dynamics, Inc.
PLPC	Preformed Line Products Co.
PLSE	Pulse Biosciences, Inc.
PLT	Plantronics, Inc.
PLUG	Plug Power, Inc.
PLUS	ePlus, Inc.
PLXS	Plexus Corp.
PMBC	Pacific Mercantile Bancorp
PMT	PennyMac Mortgage Investment Trust
PNM	PNM Resources, Inc.
PNRG	PrimeEnergy Resources Corp.
PNTG	The Pennant Group, Inc.
POL	PolyOne Corp.
POR	Portland General Electric Co.
POWI	Power Integrations, Inc.
POWL	Powell Industries, Inc.
PPBI	Pacific Premier Bancorp, Inc.
PQG	PQ Group Holdings, Inc.
PRA	ProAssurance Corp.
PRAA	PRA Group, Inc.
PRFT	Perficient, Inc.
PRGS	Progress Software Corp.
PRGX	PRGX Global, Inc.
PRIM	Primoris Services Corp.
PRK	Park National Corp.
PRLB	Proto Labs, Inc.
PRMW	Primo Water Corp.
PRNB	Principia Biopharma, Inc.
PRO	PROS Holdings, Inc.
PROS	ProSight Global, Inc.
PROV	Provident Financial Holdings, Inc.
PRPL	Purple Innovation, Inc.
PRSC	Providence Service Corp.
PRSP	Perspecta, Inc.
PRTA	Prothena Corp. Plc
PRTH	Priority Technology Holdings, Inc.
PRTK	Paratek Pharmaceuticals, Inc.
PRTY	Party City Holdco, Inc.
PRVL	Prevail Therapeutics, Inc.
PSB	PS Business Parks, Inc.
PSDO	Presidio, Inc.
PSMT	PriceSmart, Inc.
PSN	Parsons Corp.
PSNL	Personalis, Inc.
PTCT	PTC Therapeutics, Inc.
PTE	PolarityTE, Inc.
PTGX	Protagonist Therapeutics, Inc.
PTLA	Portola Pharmaceuticals, Inc.
PTN	Palatin Technologies, Inc.
PTSI	P.A.M. Transportation Services, Inc.
PTVCB	Protective Insurance Corp.
PUB	People's Utah Bancorp
PUMP	ProPetro Holding Corp.
PVAC	Penn Virginia Corp.
PVBC	Provident Bancorp, Inc. (Massachusetts)
PWOD	Penns Woods Bancorp, Inc.
PYX	Pyxus International, Inc.
PZN	Pzena Investment Management, Inc.
PZZA	Papa John's International, Inc.
QADA	QAD, Inc.
QCRH	QCR Holdings, Inc.
QDEL	Quidel Corp.
QEP	QEP Resources, Inc.
QLYS	Qualys, Inc.
QNST	QuinStreet, Inc.
QTRX	Quanterix Corp.
QTS	QTS Realty Trust, Inc.
QTWO	Q2 Holdings, Inc.
QUAD	Quad/Graphics, Inc.
QUOT	Quotient Technology, Inc.
RAD	Rite Aid Corp.
RAMP	LiveRamp Holdings, Inc.
RARE	Ultragenyx Pharmaceutical, Inc.
RARX	Ra Pharmaceuticals, Inc.
RAVN	Raven Industries, Inc.
RBB	RBB Bancorp
RBBN	Ribbon Communications, Inc.
RBCAA	Republic Bancorp, Inc. (Kentucky)
RBNC	Reliant Bancorp, Inc.
RC	Ready Capital Corp.
RCII	Rent-A-Center, Inc.
RCKT	Rocket Pharmaceuticals, Inc.
RCKY	Rocky Brands, Inc.
RCM	R1 RCM, Inc.
RCUS	Arcus Biosciences, Inc.
RDFN	Redfin Corp.
RDI	Reading International, Inc.
RDN	Radian Group Inc.
RDNT	RadNet, Inc.
RDUS	Radius Health, Inc.
REAL	The RealReal, Inc.
RECN	Resources Connection, Inc.
REGI	Renewable Energy Group, Inc.
REI	Ring Energy, Inc.
REPH	Recro Pharma, Inc.
REPL	Replimune Group, Inc.
RES	RPC, Inc.
RESI	Front Yard Residential Corp.
RETA	Reata Pharmaceuticals, Inc.
REV	Revlon, Inc.
REVG	REV Group, Inc.
REX	REX American Resources Corp.
REXR	Rexford Industrial Realty, Inc.
RFL	Rafael Holdings, Inc.
RGCO	RGC Resources, Inc.
RGEN	Repligen Corp.
RGNX	REGENXBIO, Inc.
RGR	Sturm, Ruger & Co., Inc.
RGS	Regis Corp.
RH	RH
RHP	Ryman Hospitality Properties, Inc.
RICK	RCI Hospitality Holdings, Inc.
RIGL	Rigel Pharmaceuticals, Inc.
RILY	B. Riley Financial, Inc.
RLGT	Radiant Logistics, Inc.
RLGY	Realogy Holdings Corp.
RLH	Red Lion Hotels Corp.
RLI	RLI Corp.
RLJ	RLJ Lodging Trust
RM	Regional Management Corp.
RMAX	RE/MAX Holdings, Inc.
RMBI	Richmond Mutual Bancorporation, Inc.
RMBS	Rambus, Inc.
RMNI	Rimini Street, Inc.
RMR	The RMR Group, Inc.
RMTI	Rockwell Medical, Inc.
RNET	RigNet, Inc.
RNST	Renasant Corp.
ROAD	Construction Partners, Inc.
ROAN	Roan Resources, Inc.
ROCK	Gibraltar Industries, Inc.
ROG	Rogers Corp.
ROIC	Retail Opportunity Investments Corp.
ROLL	RBC Bearings, Inc.
ROSE	Rosehill Resources, Inc.
RPD	Rapid7, Inc.
RPT	RPT Realty
RRBI	Red River Bancshares, Inc.
RRD	R.R. Donnelley & Sons Co.
RRGB	Red Robin Gourmet Burgers, Inc.
RRR	Red Rock Resorts, Inc.
RRTS	Roadrunner Transportation Systems, Inc.
RST	Rosetta Stone, Inc.
RTEC	Rudolph Technologies, Inc.
RTIX	RTI Surgical Holdings, Inc.
RTRX	Retrophin, Inc.
RTW	RTW Retailwinds, Inc.
RUBI	The Rubicon Project, Inc.
RUBY	Rubius Therapeutics, Inc.
RUN	SunRun, Inc.
RUSHA	Rush Enterprises, Inc.
RUSHB	Rush Enterprises, Inc.
RUTH	Ruth's Hospitality Group, Inc.
RVI	Retail Value, Inc.
RVNC	Revance Therapeutics, Inc.
RVSB	Riverview Bancorp, Inc.
RWT	Redwood Trust, Inc.
RXN	Rexnord Corp.
RYAM	Rayonier Advanced Materials, Inc.
RYI	Ryerson Holding Corp.
RYTM	Rhythm Pharmaceuticals, Inc.
SAFE	Safehold Inc.
SAFM	Sanderson Farms, Inc.
SAFT	Safety Insurance Group, Inc.
SAH	Sonic Automotive, Inc.
SAIA	Saia, Inc.
SAIC	Science Applications International Corp.
SAIL	SailPoint Technologies Holdings, Inc.
SALT	Scorpio Bulkers, Inc.
SAM	Boston Beer Co., Inc.
SAMG	Silvercrest Asset Management Group, Inc.
SANM	Sanmina Corp.
SASR	Sandy Spring Bancorp, Inc.
SAVE	Spirit Airlines, Inc.
SB	Safe Bulkers, Inc.
SBBP	Strongbridge Biopharma Plc
SBBX	SB One Bancorp
SBCF	Seacoast Banking Corp. of Florida
SBH	Sally Beauty Holdings, Inc.
SBOW	SilverBow Resources, Inc.
SBRA	Sabra Health Care REIT, Inc.
SBSI	Southside Bancshares, Inc.
SBT	Sterling Bancorp, Inc. (Michigan)
SCHL	Scholastic Corp.
SCHN	Schnitzer Steel Industries, Inc.
SCL	Stepan Co.
SCOR	comScore, Inc.
SCS	Steelcase, Inc.
SCSC	ScanSource, Inc.
SCU	Sculptor Capital Management, Inc.
SCVL	Shoe Carnival, Inc.
SCWX	SecureWorks Corp.
SD	SandRidge Energy, Inc.
SDRL	Seadrill Ltd.
SEAS	SeaWorld Entertainment, Inc.
SEM	Select Medical Holdings Corp.
SEMG	SemGroup Corporation
SENEA	Seneca Foods Corp.
SENS	Senseonics Holdings, Inc.
SF	Stifel Financial Corp.
SFBS	ServisFirst Bancshares, Inc.
SFE	Safeguard Scientifics, Inc.
SFIX	Stitch Fix, Inc.
SFL	SFL Corp. Ltd.
SFNC	Simmons First National Corp.
SFST	Southern First Bancshares, Inc.
SGA	Saga Communications, Inc.
SGC	Superior Group of Cos., Inc.
SGH	SMART Global Holdings, Inc.
SGMO	Sangamo Therapeutics, Inc.
SGMS	Scientific Games Corp.
SGRY	Surgery Partners, Inc.
SHAK	Shake Shack, Inc.
SHBI	Shore Bancshares, Inc.
SHEN	Shenandoah Telecommunications Co. (Virginia)
SHO	Sunstone Hotel Investors, Inc.
SHOO	Steven Madden Ltd.
SHSP	SharpSpring, Inc.
SIBN	SI-BONE, Inc.
SIC	Select Interior Concepts, Inc.
SIEB	Siebert Financial Corp.
SIEN	Sientra, Inc.
SIG	Signet Jewelers Ltd.
SIGA	SIGA Technologies, Inc.
SIGI	Selective Insurance Group, Inc.
SILK	Silk Road Medical, Inc.
SITE	SiteOne Landscape Supply, Inc.
SJI	South Jersey Industries, Inc.
SJW	SJW Group
SKT	Tanger Factory Outlet Centers, Inc.
SKY	Skyline Champion Corp.
SKYW	Sky West, Inc.
SLAB	Silicon Laboratories, Inc.
SLCA	U.S. Silica Holdings, Inc.
SLCT	Select Bancorp, Inc.
SLDB	Solid Biosciences, Inc.
SLP	Simulations Plus, Inc.
SM	SM Energy Co.
SMBC	Southern Missouri Bancorp, Inc.
SMBK	SmartFinancial, Inc.
SMHI	Seacor Marine Holdings, Inc.
SMMF	Summit Financial Group, Inc. (West Virginia)
SMP	Standard Motor Products, Inc.
SMPL	The Simply Good Foods Co.
SMTC	Semtech Corp.
SNBR	Sleep Number Corp.
SNCR	Synchronoss Technologies, Inc.
SND	Smart Sand, Inc.
SNDX	Syndax Pharmaceuticals, Inc.
SNH	Senior Housing Properties Trust
SNR	New Senior Investment Group, Inc.
SOI	Solaris Oilfield Infrastructure, Inc.
SOLY	Soliton, Inc. /Tx/
SONA	Southern National Bancorp of Virginia, Inc.
SONM	Sonim Technologies, Inc.
SONO	Sonos, Inc.
SP	SP Plus Corp.
SPAR	Spartan Motors, Inc.
SPFI	South Plains Financial, Inc. (Texas)
SPKE	Spark Energy, Inc.
SPNE	SeaSpine Holdings Corp.
SPOK	Spok Holdings, Inc.
SPPI	Spectrum Pharmaceuticals, Inc.
SPRO	Spero Therapeutics, Inc.
SPSC	SPS Commerce, Inc.
SPTN	SpartanNash Co.
SPWH	Sportsman's Warehouse Holdings, Inc.
SPWR	SunPower Corp.
SPXC	SPX Corp.
SR	Spire, Inc. (Missouri)
SRCE	1st Source Corp.
SRCI	SRC Energy, Inc.
SRDX	SurModics, Inc.
SRG	Seritage Growth Properties
SRI	Stoneridge, Inc.
SRNE	Sorrento Therapeutics, Inc.
SRRK	Scholar Rock Holding Corp.
SRT	Startek, Inc.
SSB	South State Corp.
SSD	Simpson Manufacturing Co., Inc.
SSP	The E.W. Scripps Co.
SSTI	ShotSpotter, Inc.
SSTK	Shutterstock, Inc.
SSYS	Stratasys Ltd.
STAA	STAAR Surgical Co.
STAG	STAG Industrial, Inc.
STAR	iStar, Inc.
STBA	S&T Bancorp, Inc.
STC	Stewart Information Services Corp.
STFC	State Auto Financial Corp.
STIM	Neuronetics, Inc.
STML	Stemline Therapeutics, Inc.
STMP	Stamps.com, Inc.
STNG	Scorpio Tankers, Inc.
STOK	Stoke Therapeutics, Inc.
STRA	Strategic Education, Inc.
STRL	Sterling Construction Co., Inc.
STRO	Sutro Biopharma, Inc.
STRS	Stratus Properties, Inc.
STXB	Spirit of Texas Bancshares, Inc.
SUM	Summit Materials, Inc.
SUPN	Supernus Pharmaceuticals, Inc.
SVMK	SVMK, Inc.
SVRA	Savara, Inc.
SWAV	Shockwave Medical, Inc.
SWM	Schweitzer-Mauduit International, Inc.
SWN	Southwestern Energy Co.
SWX	Southwest Gas Holdings, Inc.
SXC	SunCoke Energy, Inc.
SXI	Standex International Corp.
SXT	Sensient Technologies Corp.
SYBT	Stock Yards Bancorp, Inc.
SYBX	Synlogic, Inc.
SYKE	Sykes Enterprises, Inc.
SYNA	Synaptics, Inc.
SYNH	Syneos Health, Inc.
SYNL	Synalloy Corp.
SYRS	Syros Pharmaceuticals, Inc.
SYX	Systemax, Inc.
TACO	Del Taco Restaurants, Inc.
TALO	Talos Energy, Inc.
TAST	Carrols Restaurant Group, Inc.
TBBK	The Bancorp, Inc. (Delaware)
TBI	TrueBlue, Inc.
TBIO	Translate Bio, Inc.
TBK	Triumph Bancorp, Inc.
TBNK	Territorial Bancorp, Inc.
TBPH	Theravance Biopharma, Inc.
TCBK	TriCo Bancshares
TCDA	Tricida, Inc.
TCFC	The Community Financial Corp. (Maryland)
TCI	Transcontinental Realty Investors, Inc.
TCMD	Tactile Systems Technology, Inc.
TCRR	TCR2 Therapeutics, Inc.
TCS	The Container Store Group, Inc.
TCX	Tucows, Inc.
TDOC	Teladoc Health, Inc.
TDW	Tidewater, Inc.
TECD	Tech Data Corp.
TELL	Tellurian, Inc.
TEN	Tenneco, Inc.
TENB	Tenable Holdings, Inc.
TERP	TerraForm Power, Inc.
TESS	TESSCO Technologies, Inc.
TEUM	Pareteum Corp.
TEX	Terex Corp.
TG	Tredegar Corp.
TGH	Textainer Group Holdings Ltd.
TGI	Triumph Group, Inc.
TGNA	TEGNA, Inc.
TGTX	TG Therapeutics, Inc.
TH	Target Hospitality Corp.
THC	Tenet Healthcare Corp.
THFF	First Financial Corp. (Indiana)
THOR	Synthorx, Inc.
THR	Thermon Group Holdings, Inc.
THRM	Gentherm, Inc.
TILE	Interface, Inc.
TIPT	Tiptree, Inc.
TISI	Team, Inc.
TITN	Titan Machinery, Inc.
TIVO	TiVo Corp.
TK	Teekay Corp.
TLRA	Telaria, Inc.
TLRD	Tailored Brands, Inc.
TLYS	Tilly's, Inc.
TMDX	TransMedics Group, Inc.
TMHC	Taylor Morrison Home Corp.
TMP	Tompkins Financial Corp.
TMST	TimkenSteel Corp.
TNAV	TeleNav, Inc.
TNC	Tennant Co.
TNDM	Tandem Diabetes Care, Inc.
TNET	TriNet Group, Inc.
TNK	Teekay Tankers Ltd.
TOCA	Tocagen, Inc.
TORC	resTORbio, Inc.
TOWN	TowneBank
TPB	Turning Point Brands, Inc.
TPC	Tutor Perini Corp.
TPCO	Tribune Publishing Co.
TPH	TRI Pointe Group, Inc.
TPIC	TPI Composites, Inc.
TPRE	Third Point Reinsurance Ltd.
TPTX	Turning Point Therapeutics, Inc.
TR	Tootsie Roll Industries, Inc.
TRC	Tejon Ranch Co.
TREC	Trecora Resources
TREX	Trex Co., Inc.
TRHC	Tabula Rasa Healthcare, Inc.
TRMK	Trustmark Corp.
TRNO	Terreno Realty Corp.
TRNS	Transcat, Inc.
TROX	Tronox Holdings Plc
TRS	TriMas Corp.
TRST	TrustCo Bank Corp. NY
TRTN	Triton International Ltd.
TRTX	TPG RE Finance Trust, Inc.
TRUE	TrueCar, Inc.
TRUP	Trupanion, Inc.
TRWH	Twin River Worldwide Holdings, Inc.
TRXC	TransEnterix, Inc.
TSBK	Timberland Bancorp, Inc. (Washington)
TSC	TriState Capital Holdings, Inc.
TSE	Trinseo SA
TTEC	TTEC Holdings, Inc.
TTEK	Tetra Tech, Inc.
TTGT	TechTarget, Inc.
TTI	TETRA Technologies, Inc.
TTMI	TTM Technologies, Inc.
TTS	Tile Shop Holdings, Inc.
TUP	Tupperware Brands Corp.
TUSK	Mammoth Energy Services, Inc.
TVTY	Tivity Health, Inc.
TWI	Titan International, Inc.
TWIN	Twin Disc, Inc.
TWNK	Hostess Brands, Inc.
TWST	Twist Bioscience Corp.
TXMD	TherapeuticsMD, Inc.
TXRH	Texas Roadhouse, Inc.
TYME	Tyme Technologies, Inc.
TYPE	Monotype Imaging Holdings, Inc.
TZOO	Travelzoo Inc.
UBA	Urstadt Biddle Properties, Inc.
UBFO	United Security Bancshares (California)
UBNK	United Financial Bancorp, Inc.
UBSI	United Bankshares, Inc. (West Virginia)
UBX	Unity Biotechnology, Inc.
UCBI	United Community Banks, Inc.
UCFC	United Community Financial Corp.
UCTT	Ultra Clean Holdings, Inc.
UE	Urban Edge Properties
UEC	Uranium Energy Corp.
UEIC	Universal Electronics, Inc.
UFCS	United Fire Group, Inc.
UFI	Unifi, Inc.
UFPI	Universal Forest Products, Inc.
UFPT	UFP Technologies, Inc.
UHT	Universal Health Realty Income Trust
UIHC	United Insurance Holdings Corp.
UIS	Unisys Corp.
ULH	Universal Logistics Holdings, Inc.
UMBF	UMB Financial Corp.
UMH	UMH Properties, Inc.
UNB	Union Bankshares, Inc. (Vermont)
UNF	UniFirst Corp.
UNFI	United Natural Foods, Inc.
UNIT	Uniti Group, Inc.
UNT	Unit Corp.
UNTY	Unity Bancorp, Inc.
UPLD	Upland Software, Inc.
UPWK	Upwork, Inc.
URGN	UroGen Pharma Ltd.
USCR	U.S. Concrete, Inc.
USLM	United States Lime & Minerals, Inc.
USNA	USANA Health Sciences, Inc.
USPH	U.S. Physical Therapy, Inc.
USWS	US Well Services, Inc.
USX	US Xpress Enterprises, Inc.
UTL	UNITIL Corp.
UTMD	Utah Medical Products, Inc.
UUUU	Energy Fuels, Inc.
UVE	Universal Insurance Holdings, Inc.
UVSP	Univest Financial Corp.
UVV	Universal Corp.
VAC	Marriott Vacations Worldwide Corp.
VALU	Value Line, Inc.
VAPO	Vapotherm, Inc.
VBIV	VBI Vaccines, Inc.
VBTX	Veritex Holdings, Inc.
VC	Visteon Corp.
VCEL	Vericel Corp.
VCRA	Vocera Communications, Inc.
VCYT	Veracyte, Inc.
VEC	Vectrus, Inc.
VECO	Veeco Instruments, Inc.
VG	Vonage Holdings Corp.
VGR	Vector Group Ltd.
VHC	VirnetX Holding Corp.
VHI	Valhi, Inc.
VIAV	Viavi Solutions, Inc.
VICR	Vicor Corp.
VIVO	Meridian Bioscience, Inc.
VKTX	Viking Therapeutics, Inc.
VLGEA	Village Super Market, Inc.
VLY	Valley National Bancorp
VNCE	Vince Holding Corp.
VNDA	Vanda Pharmaceuticals, Inc.
VPG	Vishay Precision Group, Inc.
VRA	Vera Bradley, Inc.
VRAY	ViewRay, Inc.
VRCA	Verrica Pharmaceuticals, Inc.
VREX	Varex Imaging Corp.
VRNS	Varonis Systems, Inc.
VRNT	Verint Systems, Inc.
VRRM	Verra Mobility Corp.
VRS	Verso Corp.
VRTS	Virtus Investment Partners, Inc.
VRTU	Virtusa Corp.
VRTV	Veritiv Corp.
VSEC	VSE Corp.
VSH	Vishay Intertechnology, Inc.
VSLR	Vivint Solar, Inc.
VSTO	Vista Outdoor, Inc.
VVI	Viad Corp.
VYGR	Voyager Therapeutics, Inc.
WAAS	AquaVenture Holdings Ltd.
WABC	Westamerica Bancorporation
WAFD	Washington Federal, Inc.
WAIR	Wesco Aircraft Holdings, Inc.
WASH	Washington Trust Bancorp, Inc.
WATT	Energous Corp.
WBT	Welbilt, Inc.
WD	Walker & Dunlop, Inc.
WDFC	WD-40 Co.
WDR	Waddell & Reed Financial, Inc.
WERN	Werner Enterprises, Inc.
WETF	WisdomTree Investments, Inc.
WEYS	Weyco Group, Inc.
WGO	Winnebago Industries, Inc.
WHD	Cactus, Inc.
WHG	Westwood Holdings Group, Inc.
WIFI	Boingo Wireless, Inc.
WINA	Winmark Corp.
WING	Wingstop, Inc.
WIRE	Encore Wire Corp. (Delaware)
WK	Workiva, Inc.
WLDN	Willdan Group, Inc.
WLFC	Willis Lease Finance Corp.
WLH	William Lyon Homes, Inc.
WLL	Whiting Petroleum Corp.
WMC	Western Asset Mortgage Capital Corp.
WMGI	Wright Medical Group NV
WMK	Weis Markets, Inc.
WMS	Advanced Drainage Systems, Inc.
WNC	Wabash National Corp.
WNEB	Western New England Bancorp, Inc.
WOR	Worthington Industries, Inc.
WOW	WideOpenWest, Inc.
WPG	Washington Prime Group, Inc.
WRE	Washington Real Estate Investment Trust
WRLD	World Acceptance Corp.
WRTC	Wrap Technologies, Inc.
WSBC	WesBanco, Inc.
WSBF	Waterstone Financial, Inc.
WSC	Willscot Corp.
WSFS	WSFS Financial Corp.
WSR	Whitestone REIT
WTBA	West Bancorporation, Inc.
WTI	W&T Offshore, Inc.
WTRE	Watford Holdings Ltd.
WTRH	Waitr Holdings, Inc.
WTS	Watts Water Technologies, Inc.
WTTR	Select Energy Services, Inc.
WVE	Wave Life Sciences Ltd.
WW	WW International, Inc.
WWW	Wolverine World Wide, Inc.
XAN	Exantas Capital Corp.
XBIT	XBiotech, Inc.
XELA	Exela Technologies, Inc.
XENT	Intersect ENT, Inc.
XERS	Xeris Pharmaceuticals, Inc.
XFOR	X4 Pharmaceuticals, Inc.
XHR	Xenia Hotels & Resorts, Inc.
XLRN	Acceleron Pharma, Inc.
XNCR	Xencor, Inc.
XOG	Extraction Oil & Gas, Inc.
XON	Intrexon Corp.
XPER	Xperi Corp.
XXII	22nd Century Group, Inc.
YCBD	cbdMD, Inc.
YELP	Yelp, Inc.
YETI	YETI Holdings, Inc.
YEXT	Yext, Inc.
YGYI	Youngevity International, Inc.
YMAB	Y-mAbs Therapeutics, Inc.
YORW	York Water Co.
YRCW	YRC Worldwide, Inc.
ZAGG	Zagg, Inc.
ZEUS	Olympic Steel, Inc.
ZGNX	Zogenix, Inc.
ZIOP	ZIOPHARM Oncology, Inc.
ZIXI	Zix Corp.
ZUMZ	Zumiez, Inc.
ZUO	Zuora, Inc.
ZYNE	Zynerba Pharmaceuticals, Inc.
ZYXI	Zynex, Inc.
